compania_id,titulo_compania,tipo_de_convenio,descripcion,beneficios,fecha,fecha_vencimiento,estatus
40,Convenio Marco con IBM,Marco,Convenio marco de colaboración con IBM para proyectos de investigación,Acceso a tecnologías IBM y capacitación,2023-05-15,2025-05-15,active
45,Prácticas profesionales con Microsoft,Prácticas,Convenio para prácticas profesionales de estudiantes en Microsoft,Experiencia laboral y posibilidad de contratación,2023-06-10,2024-06-10,active
50,Capacitación en Google Cloud,Capacitación,Programa de capacitación en tecnologías Google Cloud,Certificaciones gratuitas y acceso a plataforma,2023-08-20,2024-08-20,pending
55,Intercambio académico Oracle,Académico,Intercambio de estudiantes y profesores con Oracle University,Experiencia internacional y becas,2023-09-01,2025-09-01,active
60,Investigación conjunta con Amazon AWS,Investigación,Desarrollo de soluciones basadas en la nube con Amazon,Financiación de proyectos y publicaciones conjuntas,2022-11-15,2024-11-15,active
65,Desarrollo de software con Meta,Desarrollo,Creación de aplicaciones en entornos de realidad aumentada,Mentorías y equipos de desarrollo,2023-02-25,2025-02-25,pending
70,Inteligencia artificial con Tesla,Investigación,Aplicación de IA en sistemas autónomos,Acceso a laboratorios de Tesla y equipamiento,2023-04-10,2026-04-10,active
75,Ciberseguridad con Cisco,Capacitación,Formación en protocolos de seguridad y networking,Material didáctico y certificaciones gratuitas,2023-03-15,2024-03-15,expired
80,Análisis de datos con SAS,Académico,Uso de software SAS para análisis estadístico,Licencias de software y soporte técnico,2022-10-05,2024-10-05,pending
85,Desarrollo móvil con Apple,Desarrollo,Creación de aplicaciones iOS y desarrollo en Swift,Dispositivos de prueba y revisión de código,2023-07-22,2025-07-22,active
90,Robótica con Boston Dynamics,Investigación,Investigación en robótica y sistemas automáticos,Acceso a laboratorios y prototipos,2023-01-30,2026-01-30,active
42,Sostenibilidad con Siemens,Sostenibilidad,Proyectos de energías renovables y eficiencia energética,Equipamiento para laboratorios y visitas técnicas,2023-06-18,2025-06-18,active
47,Telecomunicaciones con AT&T,Infraestructura,Mejoramiento de infraestructura de telecomunicaciones,Becas para estudiantes y equipos de comunicación,2023-03-28,2025-03-28,pending
