titulo,autores,area,fecha,enlace,tipo
Análisis de Big Data en empresas,"Juan Pérez, Ana Ruiz",IA,2024-11-10,https://revista.com/p1,Artículo
Redes neuronales aplicadas a medicina,"María López, Carlos Sánchez",IA,2024-09-15,https://ciencia.org/redes1,Artículo
Protocolos de seguridad en redes 5G,Luis Martínez,Redes,2024-07-22,https://seguridad.com/prot5g,Artículo
Desarrollo web con React avanzado,Sofía Ramírez,Web,2024-05-30,https://webdev.com/react,Libro
Machine Learning para principiantes,"Ana Torres, Pedro Jiménez",IA,2024-03-12,https://aprendeml.com/basico,Artículo
Tesis: Optimización de algoritmos,David Chen,IA,2024-01-18,https://universidad.edu/tesis34,Tesis
Blockchain en aplicaciones descentralizadas,"Elena Vargas, Carlos Fuentes",Web,2023-12-05,https://blockchain-dev.org,Artículo
Inteligencia Artificial en agricultura,Jorge Mendoza,IA,2023-10-21,https://agroia.org/estudio7,Artículo
Diseño de interfaces usuario accesibles,Marta Díaz,Web,2023-08-14,https://webaccess.com/ui2023,Artículo
Ciberseguridad en IoT,Raúl Ortega,Redes,2023-06-09,https://iotsecurity.net,Libro
Computación cuántica básica,Silvia Castro,IA,2023-04-27,https://quantum-fund.org/qbook,Libro
Frameworks JavaScript comparativos,Pablo Neruda,Web,2023-02-18,https://js-frameworks.dev,Artículo
Redes definidas por software,Andrea Nuñez,Redes,2022-11-30,https://sdnjournal.com/papers/89,Artículo
Chatbots y procesamiento lenguaje,Daniela Flores,IA,2022-10-12,https://nlp-research.org/chatbots,Tesis
Desarrollo ágil de aplicaciones móviles,Oscar Pinto,Web,2022-08-25,https://moviledev.com/agile2022,Artículo
