titulo,beneficiarios,ubicación,fecha de inicio,fecha final,Descripción,objetivos,resultados,participantes,estado
Alfabetización digital en adultos,120 adultos mayores de la zona rural,Valledupar, Cesar,2022-03-15,2022-11-30,Programa de alfabetización digital para adultos mayores en zonas rurales,Reducir la brecha digital en adultos mayores,120 adultos mayores capacitados en uso básico de tecnología,15 estudiantes y 3 docentes voluntarios,completed
Reforestación urbana,500 familias en áreas urbanas,Bogotá, Cundinamarca,2021-05-10,2021-12-20,Plantación de árboles en zonas urbanas para mejorar la calidad del aire,Aumentar áreas verdes en la ciudad,1000 árboles plantados en zonas urbanas,50 voluntarios comunitarios,completed
Talleres de nutrición infantil,200 niños en situación vulnerable,Medellín, Antioquia,2023-01-15,2023-06-30,Talleres educativos sobre alimentación saludable para niños,Mejorar hábitos alimenticios en niños,200 niños participaron en talleres nutricionales,10 nutricionistas y 20 voluntarios,in_progress
Mejora de infraestructura escolar,300 estudiantes de primaria,Cali, Valle del Cauca,2022-08-01,2023-02-28,Remodelación de aulas y espacios educativos,Proporcionar mejores condiciones de estudio,5 aulas remodeladas con nuevo mobiliario,Padres de familia y profesores,completed
Capacitación en emprendimiento,150 mujeres cabeza de familia,Barranquilla, Atlántico,2023-03-01,2023-09-30,Talleres de formación para emprendimientos femeninos,Empoderamiento económico de mujeres,50 nuevos emprendimientos iniciados,20 instructores especializados,in_progress
Programa de reciclaje comunitario,Toda la comunidad del barrio San José,Pereira, Risaralda,2021-09-01,2022-05-31,Implementación de puntos de reciclaje en el barrio,Fomentar cultura de reciclaje,20 toneladas de material reciclado recolectado,100 familias participantes,completed
Taller de artes para jóvenes,80 adolescentes en riesgo social,Soacha, Cundinamarca,2022-04-05,2022-10-15,Talleres de expresión artística para jóvenes,Brindar alternativas de ocupación del tiempo libre,Exposición pública con obras de los participantes,5 artistas facilitadores,completed
Construcción de parque infantil,150 niños del barrio Las Flores,Neiva, Huila,2023-02-10,2023-07-25,Construcción de área recreativa para niños,Crear espacio seguro de recreación,Parque infantil con 5 juegos instalados,Comunidad y empresa privada,in_progress
Capacitación en primeros auxilios,200 miembros de la comunidad,Cartagena, Bolívar,2021-11-15,2022-03-30,Talleres prácticos de primeros auxilios básicos,Preparar a la comunidad para emergencias,200 personas certificadas en primeros auxilios,10 paramédicos instructores,completed
Huertas comunitarias,50 familias de bajos recursos,Pasto, Nariño,2022-06-01,2022-12-15,Implementación de huertas familiares para autoconsumo,Promover seguridad alimentaria,50 huertas familiares en producción,Agrónomos y voluntarios,completed
Becas educativas,30 estudiantes de bajos recursos,Bucaramanga, Santander,2023-01-10,2023-12-15,Financiamiento de estudios técnicos y universitarios,Facilitar acceso a educación superior,30 becas otorgadas para educación superior,Instituciones educativas y donantes,in_progress
Mejora de viviendas rurales,40 familias en zona rural,Florencia, Caquetá,2022-09-01,2023-04-30,Reparación y mejoramiento de viviendas rurales,Mejorar condiciones de vida en zonas rurales,40 viviendas con mejoras estructurales,Constructores y voluntarios,in_progress
Talleres de prevención de violencia,150 adolescentes,Ibagué, Tolima,2021-07-05,2021-11-20,Talleres sobre prevención de violencia y bullying,Reducir índices de violencia escolar,150 adolescentes capacitados,Psicólogos y educadores,completed
Biblioteca móvil rural,Comunidades de 5 veredas,Sincelejo, Sucre,2022-01-15,2022-10-31,Servicio de biblioteca itinerante para zonas rurales,Fomentar hábito de lectura en zonas rurales,500 préstamos de libros realizados,2 bibliotecarios y conductor,completed
Capacitación en tecnología,80 adultos mayores,Armenia, Quindío,2023-04-01,2023-08-30,Talleres sobre uso de smartphones y apps básicas,Reducir brecha digital en adultos mayores,,20 jóvenes instructores,in_progress
Mejoramiento de caminos veredales,200 familias agricultoras,Yopal, Casanare,2022-05-10,2022-11-15,Reparación de 5 km de caminos rurales,Mejorar acceso a mercados para productores,5 km de caminos rehabilitados,Comunidad y maquinaria municipal,completed
Talleres de empleabilidad,120 desempleados,Villavicencio, Meta,2023-02-15,2023-07-20,Capacitación en búsqueda de empleo y entrevistas,Aumentar oportunidades laborales,,10 coaches laborales,in_progress
Programa de salud visual,100 niños escolares,Santa Marta, Magdalena,2021-10-01,2022-02-28,Tamizaje visual y donación de lentes para niños,Detectar y corregir problemas visuales,80 pares de lentes donados,Optómetras voluntarios,completed
Centro de acopio agrícola,50 pequeños productores,Tunja, Boyacá,2022-07-01,2023-01-31,Construcción de centro para comercialización agrícola,Mejorar canales de comercialización,Centro construido y operando,Asociación de agricultores,completed
Talleres de crianza positiva,90 padres y madres,Cúcuta, Norte de Santander,2023-03-05,2023-09-15,Talleres sobre técnicas de crianza sin violencia,Fomentar relaciones familiares saludables,,5 psicólogos infantiles,in_progress
Rehabilitación de pozo comunitario,120 familias rurales,Mocoa, Putumayo,2021-12-01,2022-04-15,Reparación de sistema de agua potable rural,Garantizar acceso a agua limpia,Pozo rehabilitado y funcionando,Ingenieros y comunidad,completed
Programa de mentoría juvenil,60 adolescentes,Montería, Córdoba,2022-09-15,2023-03-30,Acompañamiento personalizado para jóvenes en riesgo,Prevenir deserción escolar,,15 mentores profesionales,in_progress
Huertas comunitarias,50 familias de bajos recursos,Pasto, Nariño,2022-06-01,2022-12-15,Implementación de huertas familiares para autoconsumo,Promover seguridad alimentaria,50 huertas familiares en producción,Agrónomos y voluntarios,completed
Talleres de empoderamiento femenino,80 mujeres,Popayán, Cauca,2023-01-20,2023-06-30,Talleres sobre derechos y autonomía de la mujer,Fortalecer liderazgo femenino,,8 facilitadoras especializadas,in_progress
Construcción de aula escolar,120 estudiantes,Quibdó, Chocó,2022-03-01,2022-08-31,Ampliación de infraestructura educativa rural,Mejorar condiciones de estudio,Aula nueva construida y equipada,Comunidad y ministerio de educación,completed
Programa de reciclaje escolar,500 estudiantes,Manizales, Caldas,2021-09-15,2022-04-20,Campaña de separación de residuos en colegios,Fomentar conciencia ambiental,2 toneladas de material reciclado,10 colegios participantes,completed
Capacitación en turismo rural,50 emprendedores,San Andrés, San Andrés,2023-02-01,2023-08-15,Formación en servicios turísticos para comunidad local,Promover turismo comunitario,,5 expertos en turismo,in_progress
Banco de alimentos comunitario,200 familias vulnerables,Buenaventura, Valle del Cauca,2022-01-10,2022-07-30,Recolección y distribución de alimentos no perecederos,Reducir inseguridad alimentaria,15 toneladas de alimentos distribuidos,Voluntarios y supermercados,completed
Talleres de prevención de embarazo adolescente,150 jóvenes,Palmira, Valle del Cauca,2021-11-01,2022-03-15,Talleres educativos sobre salud sexual y reproductiva,Reducir índices de embarazo adolescente,150 jóvenes capacitados,4 profesionales de salud,completed
Rehabilitación de cancha deportiva,Comunidad del barrio El Progreso,Girón, Santander,2023-03-10,2023-07-25,Remodelación de espacio deportivo comunitario,Fomentar deporte y recreación,,Constructores y líderes comunitarios,in_progress
Programa de acompañamiento escolar,100 estudiantes con bajo rendimiento,Duitama, Boyacá,2022-02-15,2022-11-30,Refuerzo académico para estudiantes en riesgo,Reducir deserción escolar,80% de estudiantes mejoraron sus notas,20 tutores voluntarios,completed
Talleres de artesanías tradicionales,60 mujeres indígenas,Leticia, Amazonas,2021-10-05,2022-04-15,Rescate de técnicas artesanales ancestrales,Preservar cultura y generar ingresos,Venta de 200 piezas artesanales,5 maestras artesanas,completed
Instalación de paneles solares,80 familias sin energía,Fonseca, La Guajira,2023-01-05,2023-06-20,Implementación de sistemas solares en viviendas rurales,Llevar energía a zonas no interconectadas,,Ingenieros y técnicos especializados,in_progress
Programa de donación de libros,5 bibliotecas comunitarias,Zipaquirá, Cundinamarca,2022-04-01,2022-09-30,Recolección y entrega de libros para bibliotecas,Fomentar lectura en comunidades,2000 libros donados,Editoriales y ciudadanos,completed
Talleres de convivencia pacífica,200 estudiantes,Buga, Valle del Cauca,2021-12-10,2022-05-20,Talleres sobre resolución pacífica de conflictos,Mejorar ambiente escolar,200 estudiantes capacitados,3 mediadores profesionales,completed
Construcción de puente peatonal,300 habitantes de vereda,Ocaña, Norte de Santander,2023-02-05,2023-08-15,Construcción de paso seguro sobre quebrada,Mejorar conectividad y seguridad,,Ingenieros civiles y comunidad,in_progress
Programa de adopción de mascotas,150 animales en abrigo,Envigado, Antioquia,2022-03-15,2022-10-31,Campaña para adopción responsable de mascotas,Reducir población callejera,120 mascotas adoptadas,Voluntarios y veterinarios,completed
Capacitación en cultivos orgánicos,70 agricultores,Chinchiná, Caldas,2021-11-20,2022-04-30,Talleres sobre técnicas de agricultura sostenible,Promover agricultura ecológica,70 agricultores capacitados,Ingenieros agrónomos,completed
Talleres de teatro comunitario,100 jóvenes y adultos,Sabanalarga, Atlántico,2023-01-15,2023-05-30,Talleres de expresión teatral para comunidad,Fomentar expresión artística comunitaria,,2 directores teatrales,in_progress
Reparación de centro de salud,500 usuarios del centro,Facatativá, Cundinamarca,2022-05-01,2022-11-15,Mejoramiento de infraestructura de puesto de salud,Mejorar atención médica básica,Centro de salud remodelado,Personal de salud y albañiles,completed
Programa de recolección de medicamentos,200 pacientes crónicos,Sogamoso, Boyacá,2021-09-01,2022-02-28,Campaña de donación de medicamentos para bajos recursos,Facilitar acceso a medicinas,500 medicamentos recolectados,Farmacias y voluntarios,completed
Talleres de finanzas personales,120 microempresarios,Girardot, Cundinamarca,2023-03-01,2023-07-20,Capacitación en gestión financiera básica,Mejorar manejo de finanzas personales,,4 economistas voluntarios,in_progress
Construcción de comedor comunitario,150 niños en vulnerabilidad,Magangué, Bolívar,2022-01-10,2022-06-30,Construcción de espacio para alimentación infantil,Garantizar alimentación a niños,Comedor operando con 3 comidas diarias,Chefs y nutricionistas,completed
Programa de acompañamiento a adultos mayores,80 personas de tercera edad,Rionegro, Antioquia,2021-10-15,2022-04-20,Visitas y actividades para adultos mayores solos,Mejorar calidad de vida de ancianos,80 adultos mayores beneficiados,30 voluntarios jóvenes,completed
Talleres de robótica educativa,60 estudiantes de secundaria,Dosquebradas, Risaralda,2023-02-10,2023-06-15,Introducción a la robótica para jóvenes,Fomentar interés por tecnología,,5 ingenieros facilitadores,in_progress
Talleres de teatro comunitario,100 jóvenes y adultos,Sabanalarga, Atlántico,2023-01-15,2023-05-30,Talleres de expresión teatral para comunidad,Fomentar expresión artística comunitaria,,2 directores teatrales,in_progress
Programa de donación de uniformes,300 estudiantes de bajos recursos,Maicao, La Guajira,2021-11-05,2022-03-20,Campaña para dotación de uniformes escolares,Facilitar acceso a educación,300 uniformes donados,Empresas textiles,completed
Talleres de periodismo comunitario,40 jóvenes líderes,Tuluá, Valle del Cauca,2023-01-20,2023-05-30,Formación en comunicación para líderes comunitarios,Fortalecer medios locales,,3 periodistas profesionales,in_progress
Construcción de muro de contención,80 familias en zona de riesgo,Itagüí, Antioquia,2022-02-01,2022-07-15,Obra de protección contra deslizamientos,Prevenir desastres en zona vulnerable,Muro de 50 metros construido,Ingenieros y obreros,completed
Programa de reciclaje de electrónicos,Comunidad universitaria,Piedecuesta, Santander,2021-12-01,2022-05-31,Campaña de recolección de residuos electrónicos,Evitar contaminación por basura electrónica,2 toneladas de electrónicos reciclados,Estudiantes y profesores,completed
Talleres de cocina saludable,90 madres comunitarias,Los Patios, Norte de Santander,2023-03-15,2023-08-20,Capacitación en preparación de alimentos nutritivos,Mejorar hábitos alimenticios en niños,,6 chefs nutricionales,in_progress
Reparación de vías peatonales,500 transeúntes diarios,Floridablanca, Santander,2022-01-05,2022-06-30,Arreglo de aceras y pasos peatonales en sector céntrico,Mejorar movilidad peatonal,500 metros de aceras reparadas,Constructoras locales,completed
Programa de donación de juguetes,400 niños en navidad,Funza, Cundinamarca,2021-12-10,2022-01-05,Campaña navideña de recolección de juguetes,Llevar alegría a niños vulnerables,800 juguetes entregados,Centros comerciales y donantes,completed
