titulo,area_tematica,fecha_inicio
Sistema de Riego Inteligente_02,IA,2024-05-01
App de Educación Inclusiva_03,Desarrollo Web,2023-11-15
Estudio del Arte Urbano_04,IA,2022-03-20
Plataforma de Telemedicina_05,Redes,2024-01-10
Reducción de Huella de Carbono_06,IA,2023-06-22
Talleres de Robótica Educativa_07,IA,2022-09-14
Banco de Alimentos Comunitario_08,Redes,2024-03-05
Análisis de Datos Climáticos_09,IA,2023-08-18
Programa de Reciclaje Escolar_10,Desarrollo Web,2022-12-07
Desarrollo de Viviendas Populares_11,Redes,2024-07-30
Investigación en Energías Renovables_12,IA,2023-02-11
Preservación de Lenguas Indígenas_13,Desarrollo Web,2022-05-24
Sistema de Monitoreo Forestal_14,IA,2024-08-12
App para Gestión de Pymes_15,Desarrollo Web,2023-04-19
Capacitación en Agricultura Urbana_16,Redes,2022-10-28
Estudio de Mercado para Artesanos_17,IA,2024-09-15
Plataforma de Aprendizaje en Línea_18,Desarrollo Web,2023-01-25
Programa de Nutrición Infantil_19,Redes,2022-07-03
Red de Turismo Comunitario_20,Desarrollo Web,2024-10-20
Investigación en Materiales Sustentables_21,IA,2023-07-08
Talleres de Empoderamiento Femenino_22,Redes,2022-11-11
Sistema de Monitoreo Forestal_14,IA,2024-08-12
Conservación de Ecosistemas Acuáticos_24,IA,2023-10-05
Programa de Huertos Escolares_25,Desarrollo Web,2022-04-17
Sistema de Alertas Tempranas_26,Redes,2024-03-22
App para Reporte de Infraestructura_27,Desarrollo Web,2023-08-09
Estudio de Patrimonio Cultural_28,IA,2022-09-26
Plataforma de Voluntariado Digital_29,Redes,2024-06-13
Investigación en Terapias Alternativas_30,IA,2023-05-04
Programa de Reforestación_31,Desarrollo Web,2022-12-15
Talleres de Finanzas Personales_32,Redes,2024-11-28
Desarrollo de Prótesis 3D_33,Desarrollo Web,2023-03-07
Conservación de Aves Migratorias_34,IA,2022-06-18
Red de Bibliotecas Rurales_35,Redes,2024-12-10
App para Monitoreo de Calidad del Aire_36,IA,2023-09-21
Programa de Alfabetización Digital_37,Desarrollo Web,2022-02-12
Estudio de Mercados Campesinos_38,Redes,2024-04-25
Plataforma de Arte Colaborativo_39,IA,2023-01-14
Investigación en Nanotecnología_40,Desarrollo Web,2022-08-27
Talleres de Construcción Sostenible_41,Redes,2024-05-08
Programa de Rescate de Tradiciones Orales_42,IA,2023-10-31
Sistema de Gestión de Residuos_43,Desarrollo Web,2022-03-24
App para Seguridad Ciudadana_44,Redes,2024-07-17
Red de Apoyo a Emprendedores_45,IA,2023-04-06
Estudio de Ecosistemas Andinos_46,Desarrollo Web,2022-11-19
Plataforma de Educación Financiera_47,Redes,2024-09-02
Red de Bibliotecas Rurales_35,Redes,2024-12-10
Talleres de Innovación Social_49,Desarrollo Web,2022-10-28
Investigación en Inteligencia Artificial_50,IA,2024-01-09
