nombre_empresa,nit,sector,fecha_convenio
TechCorp,123456789,Tecnología,2023-05-01
EcoSostenible,987654321,Medio Ambiente,2022-11-15
InnovaLegal,112233445,Legal,2021-08-30
DataSoft,334455667,Tecnología,2023-01-10
AgroVerde,445566778,Agropecuario,2022-06-22
ConstruPlus,556677889,Construcción,2021-03-14
SaludTotal,667788990,Salud,2023-04-05
Logispeed,778899001,Transporte,2022-09-18
FinanSecure,889900112,Finanzas,2021-12-07
EduFuture,990011223,Educación,2023-07-30
TextilModa,101112233,Textil,2022-02-11
AlimNatural,202122344,Alimentos,2021-05-24
EnergíaLimpia,303133455,Energía,2023-08-12
Turismo360,404144566,Turismo,2022-04-19
Logispeed,778899001,Transporte,2022-09-18
FarmaCare,606166788,Salud,2023-09-15
ConsultPro,707177899,Consultoría,2022-01-25
SeguroPlus,808188900,Seguros,2021-07-03
AlimNatural,202122344,Alimentos,2021-05-24
MarketNow,121314152,Marketing,2022-07-08
PetroGlobal,131415163,Petróleo,2021-11-11
ElectroRed,141516174,Electrónica,2023-02-14
DiseñoArt,151617185,Diseño,2022-10-05
LegalTrust,161718196,Legal,2021-04-17
AgroInnova,171819207,Agropecuario,2023-03-22
TechVision,181920218,Tecnología,2022-08-09
FoodQuality,192021229,Alimentos,2021-09-26
BuildMaster,212223240,Construcción,2023-06-13
MediCare,222324251,Salud,2022-05-04
LogiGlobal,232425262,Transporte,2021-12-15
EduSmart,242526273,Educación,2023-11-28
StyleModa,252627284,Moda,2022-03-07
EcoPower,262728295,Energía,2021-06-18
ViajeSeguro,272829306,Turismo,2023-12-10
AutoElite,282930317,Automotor,2022-09-21
FarmaLife,293031328,Salud,2021-02-12
AsesoriaPlus,303132339,Consultoría,2023-04-25
SeguroTotal,313233340,Seguros,2022-01-14
AceroMundo,323334351,Manufactura,2021-08-27
DigitalAd,333435362,Marketing,2023-05-08
OilFuture,343536373,Petróleo,2022-10-31
GadgetZone,353637384,Electrónica,2021-03-24
CreativeLab,363738395,Diseño,2023-07-17
JusticiaYa,373839406,Legal,2022-04-06
CultivaSano,383940417,Agropecuario,2021-11-19
CloudTech,394041428,Tecnología,2023-09-02
NutriFresh,404142439,Alimentos,2022-06-15
UrbanBuild,414243440,Construcción,2021-10-28
VidaSana,424344451,Salud,2023-01-09
