titulo,autores,area,fecha,enlace,tipo
Análisis de Big Data en empresas,Juan Pérez, Ana Ruiz,IA,2024-11-10,https://revista.com/p1,Artículo
Redes neuronales aplicadas a medicina,María López, Carlos Sánchez,IA,2024-09-15,https://ciencia.org/redes1,Artículo
Protocolos de seguridad en redes 5G,Luis Martínez, Redes,2024-07-22,https://seguridad.com/prot5g,Artículo
Desarrollo web con React avanzado,Sofía Ramírez,Web,2024-05-30,,Libro
Machine Learning para principiantes,Ana Torres, Pedro Jiménez,IA,2024-03-12,https://aprendeml.com/basico,Artículo
Tesis: Optimización de algoritmos,David Chen,IA,2024-01-18,https://universidad.edu/tesis34,Tesis
Blockchain en aplicaciones descentralizadas,Elena Vargas, Carlos Fuentes,Web,2023-12-05,,Artículo
Inteligencia Artificial en agricultura,Jorge Mendoza,IA,2023-10-21,https://agroia.org/estudio7,Artículo
Diseño de interfaces usuario accesibles,Marta Díaz,Web,2023-08-14,https://webaccess.com/ui2023,Artículo
Ciberseguridad en IoT,Raúl Ortega, Redes,2023-06-09,,Libro
Computación cuántica básica,Silvia Castro,IA,2023-04-27,https://quantum-fund.org/qbook,Libro
Frameworks JavaScript comparativos,Pablo Neruda,Web,2023-02-18,,Artículo
Redes definidas por software,Andrea Nuñez, Redes,2022-11-30,https://sdnjournal.com/papers/89,Artículo
Chatbots y procesamiento lenguaje,Daniela Flores,IA,2022-10-12,,Tesis
Desarrollo ágil de aplicaciones móviles,Oscar Pinto,Web,2022-08-25,https://moviledev.com/agile2022,Artículo
Tendencias en WiFi 6,Roberto Sánchez, Redes,2022-07-03,,Artículo
Deep Learning aplicado a imágenes,Fernanda Gutiérrez,IA,2022-05-19,https://dlvision.org/cv2022,Artículo
Accesibilidad web en gobiernos,Laura Méndez,Web,2022-03-28,,Artículo
Virtualización de funciones de red,Diego Rojas, Redes,2022-01-11,https://netvirt.io/vnf-paper,Artículo
Ética en Inteligencia Artificial,Beatriz Salazar,IA,2021-12-24,,Libro
API REST avanzadas,Alberto Rodríguez,Web,2021-10-07,https://apidev.com/rest2021,Artículo
Tesis: Redes tolerantes a retardos,Claudia Paredes, Redes,2021-08-15,,Tesis
Chatbots y procesamiento lenguaje,Daniela Flores,IA,2022-10-12,,Tesis
Microservicios escalables,Isabel Ortega,Web,2021-04-20,,Artículo
Seguridad en redes sociales,Gustavo Lima, Redes,2021-02-08,https://socialsec.net/whitepaper,Artículo
Procesamiento de lenguaje natural,Carolina Herrera,IA,2020-11-17,,Libro
Web Semántica y ontologías,Ricardo Mora,Web,2020-09-05,https://semanticweb.org/paper45,Artículo
Redes 5G en áreas rurales,Patricia Castro, Redes,2020-07-23,,Artículo
Robótica autónoma colaborativa,Arturo Sandoval,IA,2020-05-10,https://robotics-lab.edu/auto2020,Artículo
Diseño responsivo avanzado,Natalia Jiménez,Web,2020-03-28,,Tesis
Tendencias en ciberseguridad 2025,Héctor Ramírez, Redes,2020-01-15,https://cyber-trends.net/2025,Artículo
Aprendizaje federado en salud,Sara Mendoza,IA,2019-11-02,,Artículo
Single Page Applications modernas,Felipe Cortés,Web,2019-09-18,https://spa-dev.org/guide2019,Artículo
Redes vehiculares ad-hoc,Diana Romero, Redes,2019-07-07,,Libro
Computer Vision para retail,Enrique Paz,IA,2019-04-25,https://retailtech.ai/vision2019,Artículo
Tesis: Frameworks CSS comparativos,Verónica Soto,Web,2019-02-11,,Tesis
Edge Computing aplicado,Francisco Mejía, Redes,2018-12-30,https://edge-computing.tech/paper1,Artículo
Generación de texto con IA,Adriana López,IA,2018-10-17,,Artículo
Web Components en producción,Rodrigo Silva,Web,2018-08-04,https://web-components.dev/stats,Artículo
Redes ópticas de nueva generación,Carmen Ruiz, Redes,2018-05-22,,Artículo
Sistemas multiagente,Leonardo Contreras,IA,2018-03-09,https://multi-agent-systems.edu/paper5,Artículo
Tesis: UX en aplicaciones bancarias,Gloria Torres,Web,2018-01-26,,Tesis
Seguridad en cloud computing,Mario Vargas, Redes,2017-11-13,https://cloud-security.org/whitepaper17,Artículo
IA para diagnóstico médico,Lucía Hernández,IA,2017-09-01,,Libro
WebAssembly casos de uso,Joaquín Ríos,Web,2017-06-19,https://wasm-research.org/use-cases,Artículo
Tendencias en ciberseguridad 2025,Héctor Ramírez, Redes,2020-01-15,https://cyber-trends.net/2025,Artículo
Reconocimiento de voz mejorado,Fernando Castro,IA,2017-01-24,https://speech-tech.ai/adv2017,Artículo
