titulo,beneficiarios,ubicacion,fecha_inicio,fecha_final,descripcion,objetivos,resultados,participantes,estado
Alfabetización Digital Comunitaria,Adultos mayores y jóvenes,Barrio El Progreso,2023-03-15,2023-12-20,Programa de capacitación en herramientas digitales básicas para adultos mayores y jóvenes sin acceso a tecnología,Reducir la brecha digital en comunidades vulnerables,Capacitación de 150 personas en herramientas básicas de computación e Internet,"Facultad de Ingeniería, 15 estudiantes voluntarios",activo
Huerta Comunitaria Sostenible,Familias de bajos recursos,Comuna Norte,2023-02-10,2023-11-30,Proyecto de agricultura urbana para mejorar la seguridad alimentaria de familias vulnerables,Crear 10 huertas comunitarias autosostenibles,Producción de 500 kg de alimentos frescos distribuidos en la comunidad,"Facultad de Ciencias Agrarias, 8 estudiantes, 3 profesores",activo
Atención Psicosocial Post-pandemia,Niños y adolescentes,Escuelas Rurales Sector Este,2023-01-20,2023-08-15,Programa de apoyo psicológico para niños y adolescentes afectados por el aislamiento durante la pandemia,Disminuir los problemas de salud mental en la población infantil,Atención a 200 niños y adolescentes con problemas emocionales identificados,"Facultad de Psicología, 12 practicantes, 4 psicólogos supervisores",finalizado
Reciclaje Creativo,Comunidad general,Centro Cultural Municipal,2023-04-05,2023-07-30,Taller de reciclaje y transformación de residuos en objetos útiles o artísticos,Fomentar la cultura del reciclaje y reducción de residuos,Reciclaje de 1 tonelada de materiales y creación de 300 objetos útiles,"Facultad de Artes, 6 estudiantes voluntarios",activo
Prevención de Enfermedades Tropicales,Comunidades rurales,Veredas del Sur,2022-11-15,2023-06-30,Campaña de prevención y control de enfermedades tropicales en zonas rurales,Reducir la incidencia de dengue y otras enfermedades transmitidas por vectores,Disminución del 40% en casos reportados de enfermedades tropicales,"Facultad de Medicina, 20 estudiantes, 5 docentes",finalizado
Fortalecimiento de Microempresas,Pequeños emprendedores,Zona Industrial,2023-05-10,2023-12-15,Programa de asesoría y acompañamiento para microempresarios locales,Fortalecer la sostenibilidad económica de 30 microempresas,15 microempresas aumentaron sus ventas en un 25% promedio,"Facultad de Economía, 10 asesores, 5 estudiantes de maestría",activo
Educación Ambiental Escolar,Niños de primaria,Escuelas Públicas Municipales,2023-03-01,2023-11-30,Programa educativo sobre cuidado del medio ambiente y cambio climático,Crear conciencia ambiental en 500 niños de escuelas primarias,Implementación de programas de reciclaje en 8 escuelas,"Facultad de Ciencias Ambientales, 12 estudiantes voluntarios",activo
Rehabilitación Física Comunitaria,Personas con discapacidad,Centro Comunitario La Esperanza,2022-10-15,2023-05-30,Programa de rehabilitación física para personas con discapacidad sin acceso a servicios especializados,Mejorar la calidad de vida y movilidad de 50 personas con discapacidad,40 personas mejoraron significativamente su movilidad y autonomía,"Facultad de Fisioterapia, 15 fisioterapeutas, 8 estudiantes",finalizado
Apoyo Escolar y Refuerzo Académico,Estudiantes de secundaria,Instituto Técnico San José,2023-02-15,2023-11-15,Programa de tutorías y refuerzo académico para estudiantes con bajo rendimiento,Mejorar el rendimiento académico de 100 estudiantes en riesgo de deserción,El 70% de los estudiantes participantes mejoraron sus calificaciones,"Facultad de Educación, 15 futuros docentes",activo
Atención Veterinaria para Fauna Callejera,Animales sin hogar,Distintos barrios de la ciudad,2023-01-10,2023-06-30,Programa de atención veterinaria gratuita para animales en situación de calle,Atender y esterilizar a 300 animales sin hogar,Atención médica a 250 animales y 180 esterilizaciones completadas,"Facultad de Medicina Veterinaria, 20 estudiantes, 5 docentes",pendiente
