nombre,pais,institucion,tipo,fecha_inicio,fecha_finalizacion,descripcion,participantes,resultados,estado
Programa de intercambio estudiantil,México,Universidad Nacional Autónoma de México,mobility,2023-03-01,2024-03-01,Intercambio anual para estudiantes de pregrado,20 estudiantes por año,Ampliación de oportunidades académicas,active
Convenio marco de colaboración,España,Universidad de Barcelona,agreement,2022-06-15,2027-06-15,Acuerdo general para cooperación académica,,Fomento de la investigación conjunta,active
Red de investigación en IA,Varios países,Consorcio Europeo de Universidades,network,2021-01-10,2026-01-10,Red multidisciplinaria sobre inteligencia artificial,12 instituciones miembros,Publicaciones conjuntas y simposios,active
Proyecto de sostenibilidad ambiental,Colombia,Universidad de los Andes,project,2023-09-01,2025-09-01,Desarrollo de tecnologías verdes para comunidades rurales,5 investigadores principales,Implementación de soluciones ecológicas,active
Acuerdo de doble titulación,Argentina,Universidad de Buenos Aires,agreement,2022-02-20,2032-02-20,Programa conjunto para obtención de grados académicos,,Movilidad académica y reconocimiento mutuo,active
Movilidad docente,Chile,Pontificia Universidad Católica de Chile,mobility,2023-04-05,2023-12-05,Intercambio de profesores para cursos intensivos,8 profesores participantes,Enriquecimiento curricular,active
Consorcio de estudios latinoamericanos,Varios países,Red de Universidades AL,network,2020-11-15,2025-11-15,Investigación sobre desarrollo regional,25 universidades asociadas,Informes anuales y congresos,active
Programa de prácticas profesionales,Perú,Universidad del Pacífico,mobility,2023-07-01,2024-01-01,Pasantías para estudiantes en empresas locales,15 estudiantes beneficiados,Inserción laboral de egresados,active
Proyecto de innovación educativa,Brasil,Universidad de São Paulo,project,2023-01-10,2024-07-10,Desarrollo de metodologías de enseñanza virtual,Equipo interdisciplinario,Plataforma de aprendizaje innovadora,active
Convenio específico de investigación,España,Universidad Complutense de Madrid,agreement,2022-09-15,2024-09-15,Colaboración en estudios sobre migración,3 investigadores por institución,Publicaciones conjuntas,active
Red de estudios asiáticos,Varios países,Asociación de Universidades del Asia-Pacífico,network,2021-05-20,2026-05-20,Análisis de tendencias económicas regionales,18 países participantes,Seminarios anuales y publicaciones,active
Movilidad posdoctoral,Alemania,Universidad de Heidelberg,mobility,2023-10-01,2024-10-01,Estancias de investigación para doctores,5 becarios anuales,Producción científica colaborativa,active
Programa de verano académico,Estados Unidos,Harvard University,mobility,2023-06-15,2023-08-15,Cursos intensivos durante el verano boreal,30 estudiantes participantes,Certificación académica internacional,active
Acuerdo de cooperación técnica,Costa Rica,Instituto Tecnológico de Costa Rica,agreement,2023-02-01,2028-02-01,Transferencia de conocimiento tecnológico,,Capacitación de profesionales,active
Proyecto de arqueología conjunta,Egipto,Universidad de El Cairo,project,2023-11-01,2025-05-01,Excavaciones y estudios en sitio patrimonio mundial,Equipo binacional,Hallazgos científicos y publicaciones,pending
Convenio de movilidad virtual,Varios países,Red Global de Educación Virtual,network,2022-04-01,2025-04-01,Cursos en línea compartidos entre instituciones,1000+ participantes registrados,Plataforma colaborativa de aprendizaje,active
Programa de liderazgo juvenil,Canadá,University of Toronto,mobility,2023-05-10,2023-07-10,Formación en habilidades directivas para jóvenes,25 participantes seleccionados,Red internacional de líderes,active
Acuerdo de investigación médica,Francia,Universidad de París,agreement,2022-07-01,2027-07-01,Estudios clínicos compartidos sobre enfermedades raras,10 hospitales asociados,Avances en tratamientos especializados,active
Red de energía renovable,Varios países,Consorcio de Sostenibilidad Global,network,2021-03-15,2031-03-15,Investigación sobre fuentes alternativas de energía,40 instituciones colaboradoras,Desarrollo de tecnologías limpias,active
Movilidad artística,Italia,Academia de Bellas Artes de Florencia,mobility,2023-09-15,2024-02-15,Residencias para artistas emergentes,8 becarios por semestre,Exposiciones internacionales,active
Proyecto de conservación ambiental,Kenya,Universidad de Nairobi,project,2023-08-01,2025-08-01,Protección de ecosistemas en riesgo,Equipo multidisciplinario,Plan de manejo sostenible,pending
Programa de emprendimiento,Israel,Technion - Instituto Tecnológico de Israel,mobility,2023-01-15,2023-06-15,Formación en creación de startups,20 emprendedores participantes,Incubación de proyectos innovadores,active
Acuerdo cultural,Japón,Universidad de Tokio,agreement,2022-10-01,2032-10-01,Intercambio de manifestaciones artísticas y tradiciones,,Difusión del patrimonio cultural,active
Red de estudios oceánicos,Australia,Consorcio de Universidades Australianas,network,2021-07-01,2026-07-01,Investigación marina colaborativa,15 instituciones científicas,Monitoreo de ecosistemas acuáticos,active
